Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
210010,West Eifel Volcanic Field,Germany,Volcanic field,Eruption Dated,8300 BCE,Mediterranean and Western Asia,Western Europe,50.17,6.85,600,Foidite,Rift zone / Continental crust (>25 km)
210020,Chaine des Puys,France,Lava dome(s),Eruption Dated,4040 BCE,Mediterranean and Western Asia,Western Europe,45.786,2.981,1464,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
210030,Olot Volcanic Field,Spain,Volcanic field,Evidence Credible,Unknown,Mediterranean and Western Asia,Western Europe,42.17,2.53,893,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
210040,Calatrava Volcanic Field,Spain,Volcanic field,Eruption Dated,3600 BCE,Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
211004,Colli Albani,Italy,Caldera,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,41.7569,12.7251,949,Foidite,Subduction zone / Continental crust (>25 km)
211010,Campi Flegrei,Italy,Caldera,Eruption Observed,1538 CE,Mediterranean and Western Asia,Italy,40.827,14.139,458,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
211020,Vesuvius,Italy,Stratovolcano,Eruption Observed,1944 CE,Mediterranean and Western Asia,Italy,40.821,14.426,1281,Phono-tephrite /  Tephri-phonolite,Subduction zone / Continental crust (>25 km)
211030,Ischia,Italy,Complex,Eruption Observed,1302 CE,Mediterranean and Western Asia,Italy,40.73,13.897,789,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
211031,Palinuro,Italy,Compound,Eruption Dated,8040 BCE,Mediterranean and Western Asia,Italy,39.48,14.83,-70,Phonolite,Subduction zone / Continental crust (>25 km)
211040,Stromboli,Italy,Stratovolcano,Eruption Observed,2024 CE,Mediterranean and Western Asia,Italy,38.789,15.213,924,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
211041,Panarea,Italy,Stratovolcano,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,38.638,15.064,399,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
211042,Lipari,Italy,Stratovolcano(es),Eruption Dated,1230 CE,Mediterranean and Western Asia,Italy,38.49,14.933,590,Rhyolite,Subduction zone / Continental crust (>25 km)
211050,Vulcano,Italy,Stratovolcano(es),Eruption Observed,1890 CE,Mediterranean and Western Asia,Italy,38.404,14.962,500,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
211060,Etna,Italy,Stratovolcano(es),Eruption Observed,2024 CE,Mediterranean and Western Asia,Italy,37.748,14.999,3357,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
211070,Campi Flegrei del Mar di Sicilia,Italy,Volcanic field,Eruption Observed,1867 CE,Mediterranean and Western Asia,Italy,37.1,12.7,-8,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
211071,Pantelleria,Italy,Shield,Eruption Observed,1891 CE,Mediterranean and Western Asia,Italy,36.77,12.02,836,Rhyolite,Rift zone / Continental crust (>25 km)
211080,Marsili,Italy,Complex,Eruption Dated,1050 BCE,Mediterranean and Western Asia,Italy,39.284,14.399,-779,,
212020,Methana,Greece,Lava dome(s),Eruption Observed,258 BCE,Mediterranean and Western Asia,Greece,37.6186,23.3331,380,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
212030,Milos,Greece,Stratovolcano(es),Eruption Dated,140 CE,Mediterranean and Western Asia,Greece,36.699,24.439,751,Rhyolite,Subduction zone / Continental crust (>25 km)
212040,Santorini,Greece,Shield(s),Eruption Observed,1950 CE,Mediterranean and Western Asia,Greece,36.404,25.396,367,Dacite,Subduction zone / Continental crust (>25 km)
212050,Nisyros,Greece,Stratovolcano,Eruption Observed,1888 CE,Mediterranean and Western Asia,Greece,36.5888,27.1553,698,Dacite,Subduction zone / Continental crust (>25 km)
213000,Kula,Turkiye,Volcanic field,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.58,28.52,750,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
213002,Hasandag-Keciboyduran Volcanic Complex,Turkiye,Stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.13,34.17,3253,Dacite,Intraplate / Continental crust (>25 km)
213010,Erciyes Volcanic Complex,Turkiye,Stratovolcano,Eruption Dated,6880 BCE,Mediterranean and Western Asia,Turkey,38.531,35.447,3864,Dacite,Intraplate / Continental crust (>25 km)
213011,Karaca Dag,Turkiye,Shield,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,37.67,39.83,1957,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
213020,Nemrut Dagi,Turkiye,Stratovolcano,Eruption Observed,1650 CE,Mediterranean and Western Asia,Turkey,38.654,42.229,2948,Rhyolite,Intraplate / Continental crust (>25 km)
213030,Tenduruk Dagi,Turkiye,Shield,Eruption Observed,1855 CE,Mediterranean and Western Asia,Turkey,39.356,43.874,3514,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
213040,Ararat,Turkiye,Stratovolcano,Eruption Observed,1840 CE,Mediterranean and Western Asia,Turkey,39.7,44.3,5165,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214010,Elbrus,Russia,Stratovolcano,Eruption Dated,50 CE,Mediterranean and Western Asia,Western Asia,43.351,42.442,5642,Dacite,Intraplate / Continental crust (>25 km)
214020,Kazbek,Georgia,Stratovolcano,Eruption Dated,750 BCE,Mediterranean and Western Asia,Western Asia,42.7,44.5,5050,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214050,Samsari Volcanic Center,Georgia,Volcanic field,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Western Asia,41.542,43.7,3290,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214060,Aragats,Armenia,Stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Western Asia,40.53,44.2,4095,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214070,Ghegham Volcanic Ridge,Armenia,Volcanic field,Eruption Dated,1900 BCE,Mediterranean and Western Asia,Western Asia,40.283,45,3597,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214080,Vaiyots-Sar,Armenia,Pyroclastic cone(s),Eruption Dated,2000 BCE,Mediterranean and Western Asia,Western Asia,39.797,45.497,2575,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214090,Porak,Armenia-Azerbaijan,Volcanic field,Eruption Dated,778 BCE,Mediterranean and Western Asia,Western Asia,40.028,45.74,3029,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Pyroclastic cone(s),Eruption Dated,3000 BCE,Mediterranean and Western Asia,Western Asia,39.742,45.992,3139,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
221010,"Tair, Jebel at",Yemen,Stratovolcano,Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.55,41.83,244,Trachybasalt / Tephrite Basanite,Rift zone / Oceanic crust (< 15 km)
221020,Zubair Group,Yemen,Shield,Eruption Observed,2013 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.05,42.18,191,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
221021,Zukur,Yemen,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.02,42.75,624,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
221022,Hanish,Yemen,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.72,42.73,422,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
221040,Alid,Eritrea,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.88,39.92,904,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221041,Dallol,Ethiopia,Explosion crater(s),Eruption Observed,2011 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,14.242,40.3,-48,No Data (checked),Rift zone / Intermediate crust (15-25 km)
221050,Gada Ale,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.975,40.408,287,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221060,Alu-Dalafilla,Ethiopia,Fissure vent(s),Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221071,Bora Ale,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.725,40.6,668,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221080,Erta Ale,Ethiopia,Shield,Eruption Observed,2024 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.601,40.666,585,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221090,Ale Bagu,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.512,40.631,988,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221091,Hayli Gubbi,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.51,40.722,493,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221100,Dubbi,Eritrea,Stratovolcano,Eruption Observed,1861 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.579,41.809,1625,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221101,Nabro,Eritrea,Stratovolcano,Eruption Observed,2012 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.37,41.7,2218,Trachyte / Trachydacite,Rift zone / Intermediate crust (15-25 km)
221102,Mallahle,Ethiopia-Eritrea,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.27,41.65,1875,Trachyte / Trachydacite,Rift zone / Intermediate crust (15-25 km)
221103,Sork Ale,Ethiopia-Eritrea,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.18,41.725,1611,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221104,Asavyo,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.098,41.599,1338,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221105,Mat Ala,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.106,41.161,493,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221106,Tat Ali,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.284,41.063,655,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221107,Borawli,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.304,40.987,784,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221110,Afdera,Ethiopia,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853,1250,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221111,Ma Alalta,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.013,40.185,1745,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221112,Alayta,Ethiopia,Shield,Eruption Observed,1915 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221113,Dabbahu,Ethiopia,Stratovolcano,Eruption Observed,2005 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.595,40.48,1401,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221114,Dabbayra,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,40.07,1302,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221115,Manda Hararo,Ethiopia,Shield(s),Eruption Observed,2009 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.17,40.82,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221116,Groppo,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.816,40.242,852,,Rift zone / Intermediate crust (15-25 km)
221120,Kurub,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.88,41.208,625,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221122,Manda-Inakir,Ethiopia-Djibouti,Fissure vent(s),Eruption Observed,1928 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,42.2,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.469,42.404,1993,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221124,Gufa,Eritrea-Djibouti,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.55,42.53,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221125,Assab Volcanic Field,Eritrea,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.95,42.43,987,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221126,Ardoukoba,Djibouti,Fissure vent(s),Eruption Observed,1978 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.58,42.47,298,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221127,Manda Gargori,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.75,41.48,700,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221141,Dama Ali,Ethiopia,Shield,Eruption Observed,1631 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.28,41.63,1068,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221150,Gabillema,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.08,41.27,1459,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221151,Yangudi,Ethiopia,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.58,41.042,1383,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221160,Ayelu,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.082,40.702,2145,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221170,Adwa,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.063,40.831,1670,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221171,Hertali,Ethiopia,Fissure vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.78,40.33,900,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221172,Liado Hayk,Ethiopia,Volcanic field,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.57,40.28,878,No Data (checked),Rift zone / Continental crust (>25 km)
221180,Dofan,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.35,40.13,1151,Rhyolite,Rift zone / Continental crust (>25 km)
221190,Fentale,Ethiopia,Stratovolcano,Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.985,39.906,2007,Rhyolite,Rift zone / Continental crust (>25 km)
221191,Beru,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.95,39.75,1100,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
221200,Kone,Ethiopia,Caldera(s),Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.8105,39.6946,1380,Rhyolite,Rift zone / Continental crust (>25 km)
221210,Boset,Ethiopia,Stratovolcano(es),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.558,39.475,2447,Rhyolite,Rift zone / Continental crust (>25 km)
221220,Bishoftu Volcanic Field,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.78,38.98,1850,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
221222,Melkassa,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.43,39.35,1765,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
221230,Gedemsa,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.363,39.172,1909,Rhyolite,Rift zone / Continental crust (>25 km)
221250,Bora-Bericha-Tullu Moye,Ethiopia,Pyroclastic cone,Eruption Observed,1900 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.2114,39.0812,2345,Rhyolite,Rift zone / Continental crust (>25 km)
221251,Unnamed,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.013,39.062,1886,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
221252,East Ziway,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.874,38.902,1889,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
221260,Butajiri-Silti Field,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.05,38.35,2281,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
221270,Aluto,Ethiopia,Stratovolcano,Eruption Dated,1550 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,Rhyolite,Rift zone / Continental crust (>25 km)
221280,Shala,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.4569,38.5571,2075,Rhyolite,Rift zone / Continental crust (>25 km)
221290,Corbetti,Ethiopia,Caldera,Evidence Credible,396 BCE,Africa and Red Sea,Africa (northeastern) and Red Sea,7.193,38.39,2289,Rhyolite,Rift zone / Continental crust (>25 km)
221291,Bilate River Field,Ethiopia,Volcanic field,Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.07,38.1,1700,No Data (checked),Intraplate / Continental crust (>25 km)
221294,Northern Lake Abaya Volcanic Field,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,6.76,37.97,1594,,Intraplate / Continental crust (>25 km)
221320,Korath Range,Ethiopia,Tuff cone(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.117,35.892,912,Trachybasalt / Tephrite Basanite,Rift zone / Intermediate crust (15-25 km)
221330,Mega Volcanic Field,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,3.971,38.213,1500,,Rift zone / Intermediate crust (15-25 km)
222001,Lake Turkana North Island,Kenya,Tuff cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),4.0631,36.0458,490,Trachyandesite / Basaltic Trachyandesite,Rift zone / Continental crust (>25 km)
222010,Lake Turkana Central Island,Kenya,Tuff cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),3.496,36.0365,518,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222020,Lake Turkana South Island,Kenya,Stratovolcano,Eruption Observed,1888 CE,Africa and Red Sea,Africa (eastern),2.6364,36.5958,800,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222021,Marsabit,Kenya,Shield,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (eastern),2.32,37.97,1707,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222030,"Barrier, The",Kenya,Shield,Eruption Observed,1921 CE,Africa and Red Sea,Africa (eastern),2.32,36.57,1032,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222040,Namarunu,Kenya,Shield,Eruption Dated,6550 BCE,Africa and Red Sea,Africa (eastern),1.98,36.43,817,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222050,Segererua Plateau,Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),1.57,37.9,699,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222051,Emuruangogolak,Kenya,Shield,Eruption Dated,1910 CE,Africa and Red Sea,Africa (eastern),1.5,36.33,1285,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222052,Silali,Kenya,Shield,Eruption Dated,5050 BCE,Africa and Red Sea,Africa (eastern),1.15,36.23,1528,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222053,Paka,Kenya,Shield,Eruption Dated,7550 BCE,Africa and Red Sea,Africa (eastern),0.92,36.18,1697,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222054,Korosi,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.77,36.12,1446,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222055,Ol Kokwe,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.62,36.075,1130,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222056,Nyambeni Hills,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.23,37.87,750,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222060,Menengai,Kenya,Shield,Eruption Dated,6050 BCE,Africa and Red Sea,Africa (eastern),-0.2,36.07,2278,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222070,Homa Mountain,Kenya,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.38,34.5,1751,Foidite,Rift zone / Continental crust (>25 km)
222071,Elmenteita Badlands,Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.546,36.249,2126,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222080,"Eburru, Ol Doinyo",Kenya,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.65,36.22,2856,Rhyolite,Rift zone / Continental crust (>25 km)
222090,Olkaria,Kenya,Pyroclastic cone(s),Eruption Dated,1770 CE,Africa and Red Sea,Africa (eastern),-0.904,36.292,2434,Rhyolite,Rift zone / Continental crust (>25 km)
222100,Longonot,Kenya,Stratovolcano,Eruption Dated,1863 CE,Africa and Red Sea,Africa (eastern),-0.914,36.446,2776,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222110,Suswa,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-1.151,36.357,2356,Phonolite,Rift zone / Continental crust (>25 km)
222120,"Lengai, Ol Doinyo",Tanzania,Stratovolcano,Eruption Observed,2024 CE,Africa and Red Sea,Africa (eastern),-2.764,35.914,2962,Foidite,Rift zone / Continental crust (>25 km)
222130,Chyulu Hills,Kenya,Volcanic field,Eruption Dated,1855 CE,Africa and Red Sea,Africa (eastern),-2.68,37.88,2188,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
222160,Meru,Tanzania,Stratovolcano,Eruption Observed,1910 CE,Africa and Red Sea,Africa (eastern),-3.244,36.75,4550,Phonolite,Rift zone / Continental crust (>25 km)
222161,Igwisi Hills,Tanzania,Pyroclastic cone(s),Eruption Dated,10450 BCE,Africa and Red Sea,Africa (eastern),-4.889,31.933,1146,Foidite,Rift zone / Continental crust (>25 km)
222164,Ngozi,Tanzania,Caldera,Eruption Dated,1450 CE,Africa and Red Sea,Africa (eastern),-9.0036,33.552,2614,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222166,Rungwe,Tanzania,Stratovolcano,Eruption Dated,1250 CE,Africa and Red Sea,Africa (eastern),-9.135,33.668,2953,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
222170,Kyejo,Tanzania,Stratovolcano,Eruption Observed,1800 CE,Africa and Red Sea,Africa (eastern),-9.229,33.792,2176,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
223001,Fort Portal,Uganda,Volcanic field,Eruption Dated,2120 BCE,Africa and Red Sea,Africa (central),0.7,30.25,1615,Foidite,Rift zone / Continental crust (>25 km)
223002,Kyatwa,Uganda,Volcanic field,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (central),0.45,30.25,1430,Foidite,Rift zone / Continental crust (>25 km)
223003,Katwe-Kikorongo,Uganda,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-0.08,29.92,1067,Foidite,Rift zone / Continental crust (>25 km)
223004,Bunyaruguru,Uganda,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-0.2,30.08,1554,Foidite,Rift zone / Continental crust (>25 km)
223005,Katunga,Uganda,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-0.471,30.191,1707,Foidite,Rift zone / Continental crust (>25 km)
223020,Nyamulagira,DR Congo,Shield,Eruption Observed,2024 CE,Africa and Red Sea,Africa (central),-1.408,29.2,3058,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
223030,Nyiragongo,DR Congo,Stratovolcano,Eruption Observed,2023 CE,Africa and Red Sea,Africa (central),-1.52,29.25,3470,Foidite,Rift zone / Continental crust (>25 km)
223040,Karisimbi,DR Congo-Rwanda,Stratovolcano,Eruption Dated,8050 BCE,Africa and Red Sea,Africa (central),-1.506,29.45,4490,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
223050,Visoke,DR Congo-Rwanda,Stratovolcano,Eruption Observed,1957 CE,Africa and Red Sea,Africa (central),-1.458,29.485,3696,Trachyandesite / Basaltic Trachyandesite,Rift zone / Continental crust (>25 km)
223060,Muhavura,Uganda-Rwanda,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-1.383,29.678,4103,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
223070,Bufumbira,Uganda,Volcanic field,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (central),-1.304,29.683,2100,Phono-tephrite /  Tephri-phonolite,Rift zone / Continental crust (>25 km)
224002,San Carlos,Equatorial Guinea,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (western),3.35,8.52,2260,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
224003,San Joaquin,Equatorial Guinea,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (western),3.35,8.63,2009,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
224004,Santa Isabel,Equatorial Guinea,Shield,Eruption Observed,1923 CE,Africa and Red Sea,Africa (western),3.588,8.762,2999,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
224010,Cameroon,Cameroon,Stratovolcano,Eruption Observed,2000 CE,Africa and Red Sea,Africa (western),4.203,9.17,4095,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
